Rank,Name,URL
1,Coinbase,https://www.coinbase.com
2,Kraken,https://www.kraken.com
3,Binance US,https://www.binance.us
4,Gemini,https://www.gemini.com
5,eToro,https://www.etoro.com
6,Bittrex,https://www.bittrex.com
7,Bitstamp,https://www.bitstamp.net
8,Crypto.com,https://www.crypto.com
9,Coinmama,https://www.coinmama.com
10,CEX.IO,https://www.cex.io
11,Changelly,https://www.changelly.com
12,KuCoin,https://www.kucoin.com
13,Poloniex,https://www.poloniex.com
14,Bitfinex,https://www.bitfinex.com
15,BitFlyer,https://www.bitflyer.com
16,Huobi US,https://www.huobi.com
17,OKCoin,https://www.okcoin.com
18,Coincheck,https://www.coincheck.com
19,CoinJar,https://www.coinjar.com
20,Gate.io,https://www.gate.io
21,Bitrue,https://www.bitrue.com
22,Liquid,https://www.liquid.com
23,Bybit,https://www.bybit.com
24,FTX US,https://www.ftx.us
25,BitMart,https://www.bitmart.com
26,ProBit,https://www.probit.com
27,ZB.COM,https://www.zb.com
28,Indodax,https://www.indodax.com
29,Upbit,https://www.upbit.com
30,Coinone,https://www.coinone.co.kr
31,Bithumb,https://www.bithumb.com
32,CoinField,https://www.coinfield.com
33,Luno,https://www.luno.com
34,Bibox,https://www.bibox.com
35,BKEX,https://www.bkex.com
36,MXC,https://www.mxc.com
37,Phemex,https://www.phemex.com
38,Hotbit,https://www.hotbit.io
39,AAX,https://www.aax.com
40,Exmo,https://www.exmo.com
41,HitBTC,https://www.hitbtc.com
42,HBTC,https://www.hbtc.com
43,WazirX,https://www.wazirx.com
44,ItBit,https://www.itbit.com
45,Uniswap,https://www.uniswap.org
46,SushiSwap,https://www.sushi.com
47,PancakeSwap,https://www.pancakeswap.finance
48,Balancer,https://www.balancer.finance
49,1inch,https://www.1inch.io
50,Kyber Network,https://www.kyber.network
